*.csv - набор факторов, на котором тестировалось
L - объем выборки для обучения
T - объем выборки для тестирования

x: P R F1 A E
x - определяемое число
P - Предсказание
R - Полнота
F1 - метрика F1
A - Точность
E - Ошибочные


factors_true_all.csv
L = 500 T = 20000
0: 0.995434 0.112025 0.201386 0.91355 0.08645
1: 0.885797 0.936348 0.910371 0.979 0.021
2: 0.994048 0.0836673 0.154344 0.9085 0.0915
3: 0.827742 0.617718 0.707472 0.94695 0.05305
4: 0.67717 0.578466 0.623939 0.93135 0.06865
5: 0.511464 0.16129 0.245243 0.91075 0.08925
6: 0.8686 0.705764 0.778761 0.96 0.04
7: 0.855044 0.842664 0.848809 0.9689 0.0311
8: 0.972603 0.0370757 0.0714286 0.9077 0.0923
9: 0.798111 0.342452 0.479263 0.92655 0.07345

L = 1000 T = 20000
0: 0.995012 0.617329 0.761935 0.9626 0.0374
1: 0.954731 0.926219 0.940259 0.9866 0.0134
2: 0.989817 0.244713 0.39241 0.92475 0.07525
3: 0.916667 0.00526568 0.0104712 0.89605 0.10395
4: 0.575603 0.797975 0.668788 0.92195 0.07805
5: 0.662069 0.212038 0.321205 0.91885 0.08115
6: 0.960902 0.645129 0.771972 0.96225 0.03775
7: 0.987441 0.609496 0.753745 0.9589 0.0411
8: 0.791638 0.593521 0.678411 0.94615 0.05385
9: 0.5 0.000504032 0.00100705 0.9008 0.0992

L = 5000 T = 20000
0: 0.95126 0.891684 0.920509 0.985 0.015
1: 0.5 0.000447027 0.000893256 0.88815 0.11185
2: 0.928617 0.730769 0.817899 0.96785 0.03215
3: 0.970559 0.46673 0.630338 0.942 0.058
4: 0.827653 0.861196 0.844091 0.9686 0.0314
5: 0.568804 0.813758 0.669581 0.9282 0.0718
6: 0.997674 0.218543 0.358546 0.92325 0.07675
7: 0.484536 0.964218 0.644966 0.88875 0.11125
8: 0.296129 0.954262 0.451994 0.7774 0.2226
9: 0.910626 0.459649 0.610926 0.9416 0.0584

L = 10000 T = 20000
0: 0.984643 0.855749 0.915683 0.98465 0.01535
1: 0.971765 0.922287 0.946379 0.9883 0.0117
2: 0.593557 0.923077 0.722519 0.92995 0.07005
3: 0.973291 0.593675 0.7375 0.9559 0.0441
4: 0.382777 0.985257 0.551351 0.8423 0.1577
5: 0.899051 0.574421 0.700975 0.95555 0.04445
6: 0.939921 0.850178 0.8928 0.9799 0.0201
7: 0.797072 0.935115 0.860593 0.96825 0.03175
8: 0.868775 0.664779 0.753209 0.9577 0.0423
9: 0.449236 0.919778 0.603642 0.8803 0.1197

L = 20000 T = 20000
0: 0.99087 0.812375 0.892789 0.98045 0.01955
1: 0.975012 0.924374 0.949018 0.9891 0.0109
2: 0.984289 0.632828 0.770366 0.96265 0.03735
3: 0.986807 0.540723 0.69863 0.9516 0.0484
4: 0.863035 0.869473 0.866242 0.9748 0.0252
5: 0.83537 0.705595 0.765018 0.9601 0.0399
6: 0.985075 0.714065 0.827957 0.9712 0.0288
7: 0.928291 0.886908 0.907127 0.98065 0.01935
8: 0.928222 0.577372 0.711917 0.95395 0.04605
9: 0.850947 0.694763 0.764964 0.9572 0.0428



factors_matrix.csv
L = 500 T = 20000
0: 0.97378 0.68705 0.805664 0.96775 0.03225
1: 0.934622 0.891133 0.91236 0.9805 0.0195
2: 0.504825 0.917335 0.651254 0.90195 0.09805
3: 0.722523 0.772268 0.746567 0.94555 0.05445
4: 0.819825 0.667852 0.736076 0.95285 0.04715
5: 0.530023 0.510567 0.520113 0.9153 0.0847
6: 0.444878 0.970927 0.610175 0.87625 0.12375
7: 0.876404 0.790541 0.831261 0.96675 0.03325
8: 0.489345 0.64752 0.557429 0.90155 0.09845
9: 0.638487 0.29078 0.399582 0.91375 0.08625

L = 1000 T = 20000
0: 0.982483 0.665291 0.793358 0.9664 0.0336
1: 0.944151 0.942907 0.943529 0.98715 0.01285
2: 0.755241 0.77996 0.767402 0.95305 0.04695
3: 0.829948 0.684538 0.750262 0.9524 0.0476
4: 0.931517 0.640506 0.759076 0.95985 0.04015
5: 0.830175 0.628934 0.715677 0.95475 0.04525
6: 0.761688 0.929329 0.837199 0.9642 0.0358
7: 0.804264 0.91376 0.855523 0.96815 0.03185
8: 0.548401 0.654127 0.596617 0.91535 0.08465
9: 0.505922 0.839718 0.631419 0.90275 0.09725

L = 5000 T = 20000
0: 0.94678 0.913244 0.92971 0.98655 0.01345
1: 0.949418 0.948145 0.948781 0.98855 0.01145
2: 0.841354 0.805162 0.82286 0.96575 0.03425
3: 0.875077 0.674375 0.761727 0.9553 0.0447
4: 0.915619 0.775076 0.839506 0.97075 0.02925
5: 0.853789 0.447427 0.587156 0.94375 0.05625
6: 0.938776 0.679572 0.788416 0.9642 0.0358
7: 0.761679 0.917939 0.83254 0.9613 0.0387
8: 0.487342 0.760395 0.593991 0.9 0.1
9: 0.56476 0.806516 0.664327 0.9187 0.0813

